학교명,학교급구분,설립일자,설립형태,본교분교구분,소재지도로명주소,시도교육청명,교육지원청명,위도,경도
세화고등학교,고등학교,1987-05-01,사립,본교,경상북도 포항시 북구 아치로 94,경상북도교육청,경상북도포항교육지원청,36.05282731,129.3521047
서호초등학교,초등학교,1954-11-09,공립,본교,경기도 수원시 권선구 서호동로14번길 47,경기도교육청,경기도수원교육지원청,37.26623106,126.9903299
대구진월초등학교,초등학교,1990-05-17,공립,본교,대구광역시 달서구 진천로4길 32,대구광역시교육청,대구광역시남부교육지원청,35.81090267,128.5282878
삼호중학교,중학교,1982-03-09,공립,본교,전라남도 영암군 삼호읍 방아제로 102,전라남도교육청,전라남도영암교육지원청,34.75075323,126.4674655
서울봉현초등학교,초등학교,2003-05-27,공립,본교,서울특별시 관악구 성현로 117,서울특별시교육청,서울특별시동작관악교육지원청,37.49124068,126.9555874
수남중학교,중학교,2016-03-01,공립,본교,경상남도 김해시 율하2로 197,경상남도교육청,경상남도김해교육지원청,35.17175906,128.8190488
현덕초등학교,초등학교,1934-09-04,공립,본교,경기도 평택시 현덕면 현덕로 1254,경기도교육청,경기도평택교육지원청,36.96525495,126.9219431
대구동도초등학교,초등학교,1939-04-15,공립,본교,대구광역시 수성구 동대구로57길 8,대구광역시교육청,대구광역시동부교육지원청,35.85709448,128.6240176
금성고등학교,고등학교,1954-07-22,사립,본교,부산광역시 동구 증산로 83,부산광역시교육청,부산광역시남부교육지원청,35.13463713,129.0515092
서울백산초등학교,초등학교,1974-03-26,공립,본교,서울특별시 금천구 시흥대로38길 78,서울특별시교육청,서울특별시남부교육지원청,37.44673975,126.905146
인항고등학교,고등학교,1988-03-01,사립,본교,인천광역시 미추홀구 매소홀로 135,인천광역시교육청,인천광역시남부교육지원청,37.44681429,126.6407082
능주중학교,중학교,1966-12-19,사립,본교,전라남도 화순군 능주면 죽수길 31-2,전라남도교육청,전라남도화순교육지원청,34.98516412,126.9590427
영통초등학교,초등학교,1997-12-01,공립,본교,경기도 수원시 영통구 영통로 328,경기도교육청,경기도수원교육지원청,37.25451415,127.0644383
이의중학교,중학교,2011-10-04,공립,본교,경기도 수원시 영통구 법조로 129,경기도교육청,경기도수원교육지원청,37.2913276,127.0707668
서촌초등학교,초등학교,1997-09-01,공립,본교,경기 시흥시 정왕대로118번길 27,경기도교육청,경기도시흥교육지원청,37.34942585,126.7275021
이리여자고등학교,고등학교,1924-04-10,공립,본교,전라북도 익산시 익산대로24길 8-5,전라북도교육청,전라북도익산교육지원청,35.94486815,126.9513174
의정부호원초등학교,초등학교,2003-03-01,공립,본교,경기도 의정부시 전좌로156번길 20,경기도교육청,경기도의정부교육지원청,37.72207145,127.0412021
부평동중학교,중학교,1970-10-10,공립,본교,인천광역시 부평구 수변로107번길 4,인천광역시교육청,인천광역시북부교육지원청,37.49665352,126.7408276
고색초등학교,초등학교,1950-06-01,공립,본교,경기도 수원시 권선구 매송고색로 681,경기도교육청,경기도수원교육지원청,37.25156123,126.9783835
동아공업고등학교,고등학교,2003-11-07,사립,본교,부산광역시 사하구 괴정로260번길 79,부산광역시교육청,부산광역시서부교육지원청,35.09322008,128.9884286
서평초등학교,초등학교,2006-03-01,공립,본교,경기도 수원시 권선구 수인로9번길 52,경기도교육청,경기도수원교육지원청,37.26867712,126.9970853
검단초등학교,초등학교,1971-11-02,공립,본교,경기도 성남시 중원구 원터로 25,경기도교육청,경기도성남교육지원청,37.42948258,127.144034
서울배봉초등학교,초등학교,1971-10-08,공립,본교,서울특별시 동대문구 사가정로 193,서울특별시교육청,서울특별시동부교육지원청,37.58008416,127.0668719
계양중학교,중학교,1970-03-06,공립,본교,인천광역시 계양구 장제로1181번길 9,인천광역시교육청,인천광역시서부교육지원청,37.5689105,126.7382324
상명중학교,중학교,1937-12-01,사립,본교,서울특별시 노원구 덕릉로 553,서울특별시교육청,서울특별시북부교육지원청,37.64954781,127.0680416
오류중학교,중학교,1976-04-06,공립,본교,서울특별시 구로구 고척로27바길 19,서울특별시교육청,서울특별시남부교육지원청,37.50786222,126.8462113
인천대정초등학교,초등학교,1987-03-01,공립,본교,인천광역시 부평구 안남로 115,인천광역시교육청,인천광역시북부교육지원청,37.4932149,126.7098548
명석고등학교,고등학교,1983-11-21,사립,본교,대전광역시 동구 우암로 380,대전광역시교육청,대전광역시동부교육지원청,36.35298746,127.4542462
초강초등학교,초등학교,1923-05-17,공립,본교,충청북도 영동군 심천면 초강로 97,충청북도교육청,충청북도영동교육지원청,36.21677234,127.7138238
